Graph_q4
Time (Seconds),q4 (Degrees),q4_dot (Degrees/Seconds)
178.000000,91.981041,0.004645
178.050003,91.980789,-0.004918
178.100006,91.980942,0.003005
178.150009,91.980782,-0.003278
178.199997,91.980988,0.004098
178.250000,91.980766,-0.004371
178.300003,91.980820,0.001093
178.350006,91.980804,-0.000273
178.400009,91.981041,0.004645
178.449997,91.980789,-0.004918
178.500000,91.980904,0.002186
178.550003,91.980820,-0.001639
178.600006,91.980835,0.000273
178.650009,91.980751,-0.001639
178.699997,91.980789,0.000820
178.750000,91.980698,-0.001912
178.800003,91.980942,0.004918
178.850006,91.980721,-0.004371
178.900009,91.980736,0.000273
178.949997,91.980667,-0.001366
179.000000,91.980820,0.003005
179.050003,91.980713,-0.002186
179.100006,91.980782,0.001366
179.150009,91.980667,-0.002186
179.199997,91.980736,0.001366
179.250000,91.980682,-0.001093
179.300003,91.980736,0.001093
179.350006,91.980721,-0.000273
179.400009,91.980782,0.001093
179.449997,91.980682,-0.001912
179.500000,91.980736,0.001093
179.550003,91.980698,-0.000820
179.600006,91.980782,0.001639
179.650009,91.980751,-0.000546
179.699997,91.980995,0.004918
179.750000,91.980766,-0.004645
179.800003,91.980804,0.000820
179.850006,91.980698,-0.002186
179.900009,91.980988,0.005737
179.949997,91.980820,-0.003278
180.000000,91.981026,0.004098
180.050003,91.980782,-0.004918
180.100006,91.980820,0.000820
180.150009,91.980721,-0.001912
180.199997,91.981041,0.006284
180.250000,91.980820,-0.004371
180.300003,91.981026,0.004098
180.350006,91.980766,-0.005191
180.400009,91.980789,0.000546
180.449997,91.980782,-0.000273
180.500000,91.980820,0.000820
180.550003,91.980766,-0.001093
180.600006,91.980835,0.001366
180.650009,91.980751,-0.001639
180.699997,91.981010,0.005191
180.750000,91.980789,-0.004371
180.800003,91.980858,0.001366
180.850006,91.980766,-0.001912
180.900009,91.980820,0.001093
180.949997,91.980713,-0.002186
181.000000,91.980789,0.001639
181.050003,91.980736,-0.001093
181.100006,91.980789,0.001093
181.150009,91.980751,-0.000820
181.199997,91.980820,0.001366
181.250000,91.980782,-0.000820
181.300003,91.981010,0.004645
181.350006,91.980766,-0.004918
181.400009,91.980751,-0.000273
181.449997,91.980713,-0.000820
181.500000,91.980782,0.001366
181.550003,91.980736,-0.000820
181.600006,91.980789,0.001093
181.650009,91.980721,-0.001366
181.699997,91.980972,0.004918
181.750000,91.980858,-0.002186
181.800003,91.981010,0.003005
181.850006,91.980850,-0.003278
181.900009,91.980751,-0.001912
181.949997,91.980751,0.000000
182.000000,91.980782,0.000546
182.050003,91.980698,-0.001639
182.100006,91.980804,0.002186
182.150009,91.980736,-0.001366
182.199997,91.980751,0.000273
182.250000,91.980698,-0.001093
182.300003,91.980736,0.000820
182.350006,91.980713,-0.000546
182.400009,91.980804,0.001912
182.449997,91.980682,-0.002459
182.500000,91.980820,0.002732
182.550003,91.980721,-0.001912
182.600006,91.980782,0.001093
182.650009,91.980698,-0.001639
182.699997,91.980766,0.001366
182.750000,91.980713,-0.001093
182.800003,91.980782,0.001366
182.850006,91.980766,-0.000273
182.900009,91.980804,0.000820
182.949997,91.980713,-0.001912
183.000000,91.980751,0.000820
183.050003,91.980682,-0.001366
183.100006,91.980751,0.001366
183.150009,91.980698,-0.001093
183.199997,91.980804,0.002186
183.250000,91.980766,-0.000820
183.300003,91.980736,-0.000546
183.350006,91.980736,0.000000
183.400009,91.980820,0.001639
183.449997,91.980766,-0.001093
183.500000,91.980721,-0.000820
183.550003,91.980667,-0.001093
183.600006,91.980721,0.001093
183.650009,91.980659,-0.001366
183.699997,91.980721,0.001366
183.750000,91.980721,0.000000
183.800003,91.980820,0.001912
183.850006,91.980751,-0.001366
183.900009,91.980995,0.004918
183.949997,91.980804,-0.003825
184.000000,91.980789,-0.000273
184.050003,91.980751,-0.000820
184.100006,91.980835,0.001639
184.150009,91.980751,-0.001639
184.199997,91.980751,0.000000
184.250000,91.980736,-0.000273
184.300003,92.018097,0.747223
184.350006,92.127602,2.190032
184.400009,92.327354,3.995114
184.449997,92.624146,5.935708
184.500000,93.019814,7.913457
184.550003,93.516968,9.943116
184.600006,94.114418,11.949006
184.650009,94.811607,13.943695
184.699997,95.608116,15.930187
184.750000,96.505272,17.943180
184.800003,97.502045,19.935410
184.850006,98.597961,21.918350
184.900009,99.794136,23.923420
184.949997,101.090477,25.926851
