Graph_q6
Time (Seconds),q6 (Degrees),q6_dot (Degrees/Seconds)
178.000000,81.522667,0.000546
178.050003,81.522636,-0.000546
178.100006,81.522629,-0.000273
178.150009,81.522667,0.000820
178.199997,81.522667,0.000000
178.250000,81.522697,0.000546
178.300003,81.522682,-0.000273
178.350006,81.522652,-0.000546
178.400009,81.522697,0.000820
178.449997,81.522667,-0.000546
178.500000,81.522636,-0.000546
178.550003,81.522636,0.000000
178.600006,81.522629,-0.000273
178.650009,81.522614,-0.000273
178.699997,81.522614,0.000000
178.750000,81.522667,0.001093
178.800003,81.522667,0.000000
178.850006,81.522636,-0.000546
178.900009,81.522636,0.000000
178.949997,81.522636,0.000000
179.000000,81.522697,0.001093
179.050003,81.522682,-0.000273
179.100006,81.522667,-0.000273
179.150009,81.522629,-0.000820
179.199997,81.522636,0.000273
179.250000,81.522652,0.000273
179.300003,81.522636,-0.000273
179.350006,81.522652,0.000273
179.400009,81.522614,-0.000820
179.449997,81.522682,0.001366
179.500000,81.522667,-0.000273
179.550003,81.522636,-0.000546
179.600006,81.522614,-0.000546
179.650009,81.522636,0.000546
179.699997,81.522636,0.000000
179.750000,81.522667,0.000546
179.800003,81.522636,-0.000546
179.850006,81.522652,0.000273
179.900009,81.522667,0.000273
179.949997,81.522667,0.000000
180.000000,81.522652,-0.000273
180.050003,81.522652,0.000000
180.100006,81.522614,-0.000820
180.150009,81.522598,-0.000273
180.199997,81.522583,-0.000273
180.250000,81.522598,0.000273
180.300003,81.522636,0.000820
180.350006,81.522667,0.000546
180.400009,81.522629,-0.000820
180.449997,81.522697,0.001366
180.500000,81.522682,-0.000273
180.550003,81.522614,-0.001366
180.600006,81.522667,0.001093
180.650009,81.522614,-0.001093
180.699997,81.522667,0.001093
180.750000,81.522697,0.000546
180.800003,81.522667,-0.000546
180.850006,81.522682,0.000273
180.900009,81.522652,-0.000546
180.949997,81.522682,0.000546
181.000000,81.522614,-0.001366
181.050003,81.522629,0.000273
181.100006,81.522598,-0.000546
181.150009,81.522629,0.000546
181.199997,81.522652,0.000546
181.250000,81.522720,0.001366
181.300003,81.522652,-0.001366
181.350006,81.522636,-0.000273
181.400009,81.522667,0.000546
181.449997,81.522636,-0.000546
181.500000,81.522636,0.000000
181.550003,81.522652,0.000273
181.600006,81.522667,0.000273
181.650009,81.522614,-0.001093
181.699997,81.522636,0.000546
181.750000,81.522652,0.000273
181.800003,81.522697,0.000820
181.850006,81.522652,-0.000820
181.900009,81.522629,-0.000546
181.949997,81.522667,0.000820
182.000000,81.522652,-0.000273
182.050003,81.522667,0.000273
182.100006,81.522682,0.000273
182.150009,81.522736,0.001093
182.199997,81.522705,-0.000546
182.250000,81.522720,0.000273
182.300003,81.522736,0.000273
182.350006,81.522736,0.000000
182.400009,81.522705,-0.000546
182.449997,81.522682,-0.000546
182.500000,81.522682,0.000000
182.550003,81.522652,-0.000546
182.600006,81.522667,0.000273
182.650009,81.522697,0.000546
182.699997,81.522697,0.000000
182.750000,81.522636,-0.001093
182.800003,81.522667,0.000546
182.850006,81.522636,-0.000546
182.900009,81.522667,0.000546
182.949997,81.522636,-0.000546
183.000000,81.522682,0.000820
183.050003,81.522667,-0.000273
183.100006,81.522697,0.000546
183.150009,81.522697,0.000000
183.199997,81.522667,-0.000546
183.250000,81.522682,0.000273
183.300003,81.522614,-0.001366
183.350006,81.522636,0.000546
183.400009,81.522629,-0.000273
183.449997,81.522636,0.000273
183.500000,81.522636,0.000000
183.550003,81.522682,0.000820
183.600006,81.522629,-0.001093
183.650009,81.522629,0.000000
183.699997,81.522667,0.000820
183.750000,81.522652,-0.000273
183.800003,81.522636,-0.000273
183.850006,81.522598,-0.000820
183.900009,81.522629,0.000546
183.949997,81.522697,0.001366
184.000000,81.522667,-0.000546
184.050003,81.522697,0.000546
184.100006,81.522667,-0.000546
184.150009,81.522667,0.000000
184.199997,81.522614,-0.001093
184.250000,81.522598,-0.000273
184.300003,81.522652,0.001093
184.350006,81.522652,0.000000
184.400009,81.522629,-0.000546
184.449997,81.522614,-0.000273
184.500000,81.522636,0.000546
184.550003,81.522614,-0.000546
184.600006,81.522652,0.000820
184.650009,81.522652,0.000000
184.699997,81.522667,0.000273
184.750000,81.522682,0.000273
184.800003,81.522652,-0.000546
184.850006,81.522652,0.000000
184.900009,81.522629,-0.000546
184.949997,81.522652,0.000546
185.000000,81.522629,-0.000546
185.050003,81.522629,0.000000
185.100006,81.522682,0.001093
185.150009,81.522636,-0.000820
185.199997,81.522667,0.000546
185.250000,81.522629,-0.000820
185.300003,81.522652,0.000546
185.350006,81.522629,-0.000546
185.400009,81.522598,-0.000546
185.449997,81.522598,0.000000
185.500000,81.522667,0.001366
185.550003,81.522652,-0.000273
185.600006,81.522636,-0.000273
185.650009,81.522652,0.000273
185.699997,81.522652,0.000000
185.750000,81.522614,-0.000820
185.800003,81.522629,0.000273
185.850006,81.522636,0.000273
185.900009,81.522614,-0.000546
185.949997,81.522667,0.001093
186.000000,81.522614,-0.001093
186.050003,81.522636,0.000546
186.100006,81.522652,0.000273
186.150009,81.522636,-0.000273
186.199997,81.522652,0.000273
186.250000,81.522636,-0.000273
186.300003,81.522629,-0.000273
186.350006,81.522636,0.000273
186.400009,81.522705,0.001366
186.449997,81.522636,-0.001366
186.500000,81.522652,0.000273
186.550003,81.522682,0.000546
186.600006,81.522667,-0.000273
186.650009,81.522697,0.000546
186.699997,81.522736,0.000820
186.750000,81.522705,-0.000546
186.800003,81.522720,0.000273
186.850006,81.522736,0.000273
186.900009,81.522720,-0.000273
186.949997,81.522697,-0.000546
187.000000,81.522667,-0.000546
187.050003,81.522629,-0.000820
187.100006,81.522629,0.000000
187.150009,81.522652,0.000546
187.199997,81.522636,-0.000273
187.250000,81.522636,0.000000
187.300003,81.522636,0.000000
187.350006,81.522682,0.000820
187.400009,81.522736,0.001093
187.449997,81.522682,-0.001093
187.500000,81.522682,0.000000
187.550003,81.522652,-0.000546
187.600006,81.522652,0.000000
187.650009,81.522652,0.000000
187.699997,81.522652,0.000000
187.750000,81.522636,-0.000273
187.800003,81.522720,0.001639
187.850006,81.522614,-0.002186
187.900009,81.522652,0.000820
187.949997,81.522667,0.000273
188.000000,81.522682,0.000273
188.050003,81.522697,0.000273
188.100006,81.522583,-0.002186
188.150009,81.522598,0.000273
188.199997,81.522629,0.000546
188.250000,81.522636,0.000273
188.300003,81.522705,0.001366
188.350006,81.522697,-0.000273
188.400009,81.522667,-0.000546
188.449997,81.522636,-0.000546
188.500000,81.522697,0.001093
188.550003,81.522751,0.001093
188.600006,81.522705,-0.000820
188.650009,81.522667,-0.000820
188.699997,81.522636,-0.000546
188.750000,81.522705,0.001366
188.800003,81.522720,0.000273
188.850006,81.522697,-0.000546
188.900009,81.522629,-0.001366
188.949997,81.522682,0.001093
189.000000,81.522667,-0.000273
189.050003,81.522598,-0.001366
189.100006,81.522629,0.000546
189.150009,81.522667,0.000820
189.199997,81.522667,0.000000
189.250000,81.522629,-0.000820
189.300003,81.522629,0.000000
189.350006,81.522667,0.000820
189.400009,81.522682,0.000273
189.449997,81.522652,-0.000546
189.500000,81.522614,-0.000820
189.550003,81.522652,0.000820
189.600006,81.522652,0.000000
189.650009,81.522598,-0.001093
189.699997,81.522652,0.001093
189.750000,81.522667,0.000273
189.800003,81.522636,-0.000546
189.850006,81.522568,-0.001366
189.900009,81.522629,0.001093
189.949997,81.522629,0.000000
190.000000,81.522614,-0.000273
190.050003,81.522652,0.000820
190.100006,81.522667,0.000273
190.150009,81.522583,-0.001639
190.199997,81.522667,0.001639
190.250000,81.522636,-0.000546
190.300003,81.522682,0.000820
190.350006,81.522629,-0.001093
190.400009,81.522629,0.000000
190.449997,81.522682,0.001093
190.500000,81.522667,-0.000273
190.550003,81.522705,0.000820
190.600006,81.522598,-0.002186
190.650009,81.522614,0.000273
190.699997,81.522667,0.001093
190.750000,81.522667,0.000000
190.800003,81.522614,-0.001093
190.850006,81.522636,0.000546
190.900009,81.522636,0.000000
190.949997,81.522614,-0.000546
191.000000,81.522636,0.000546
191.050003,81.522667,0.000546
191.100006,81.522652,-0.000273
191.150009,81.522598,-0.001093
191.199997,81.522568,-0.000546
191.250000,81.522629,0.001093
191.300003,81.522667,0.000820
191.350006,81.522697,0.000546
191.400009,81.522636,-0.001093
191.449997,81.522652,0.000273
191.500000,81.522636,-0.000273
191.550003,81.522652,0.000273
191.600006,81.522598,-0.001093
191.650009,81.522652,0.001093
191.699997,81.522614,-0.000820
191.750000,81.522583,-0.000546
191.800003,81.522560,-0.000546
191.850006,81.522545,-0.000273
191.900009,81.522629,0.001639
191.949997,81.522629,0.000000
192.000000,81.522629,0.000000
192.050003,81.522636,0.000273
192.100006,81.522583,-0.001093
192.150009,81.522598,0.000273
192.199997,81.522568,-0.000546
192.250000,81.522598,0.000546
192.300003,81.522598,0.000000
192.350006,81.522636,0.000820
192.400009,81.522652,0.000273
192.449997,81.522652,0.000000
192.500000,81.522636,-0.000273
192.550003,81.522682,0.000820
192.600006,81.522667,-0.000273
192.650009,81.490128,-0.650780
192.699997,81.381073,-2.181016
192.750000,81.180244,-4.016698
192.800003,80.882240,-5.960023
192.850006,80.485229,-7.940232
192.900009,79.988564,-9.933281
192.949997,79.392029,-11.930701
193.000000,78.695580,-13.928942
193.050003,77.899086,-15.929914
