Graph_y
Time (Seconds),y (Meters),y_dot (Meters/Seconds)
187.550003,-0.250556,-0.000011
187.600006,-0.250556,0.00000060
187.650009,-0.250553,0.000061
187.699997,-0.250551,0.000042
187.750000,-0.250551,0.0000042
187.800003,-0.250553,-0.000051
187.850006,-0.250553,-0.0000012
187.900009,-0.250552,0.000023
187.949997,-0.250553,-0.000021
188.000000,-0.250554,-0.000012
188.050003,-0.250559,-0.000113
188.100006,-0.250561,-0.000036
188.150009,-0.250555,0.000122
188.199997,-0.250550,0.000100
188.250000,-0.250554,-0.000072
188.300003,-0.250553,0.000015
188.350006,-0.250549,0.000070
188.400009,-0.250553,-0.000066
188.449997,-0.250553,-0.000017
188.500000,-0.250550,0.000061
188.550003,-0.250553,-0.000051
188.600006,-0.250559,-0.000114
188.650009,-0.250557,0.000032
188.699997,-0.250558,-0.000018
188.750000,-0.250557,0.000016
188.800003,-0.250556,0.000017
188.850006,-0.250560,-0.000066
188.900009,-0.250562,-0.000044
188.949997,-0.250560,0.000039
189.000000,-0.250558,0.000039
189.050003,-0.250562,-0.000080
189.100006,-0.250562,0.0000030
189.150009,-0.250559,0.000052
189.199997,-0.250560,-0.000024
189.250000,-0.250556,0.000088
189.300003,-0.250553,0.000059
189.350006,-0.250553,-0.0000077
189.400009,-0.250557,-0.000068
189.449997,-0.250557,-0.0000054
189.500000,-0.250556,0.000020
189.550003,-0.250551,0.000099
189.600006,-0.250555,-0.000088
189.650009,-0.250560,-0.000085
189.699997,-0.250560,0.0000036
189.750000,-0.250555,0.000082
189.800003,-0.250553,0.000056
189.850006,-0.250555,-0.000057
189.900009,-0.250554,0.000027
189.949997,-0.250552,0.000047
190.000000,-0.250550,0.000032
190.050003,-0.250552,-0.000040
190.100006,-0.250554,-0.000038
190.150009,-0.250554,-0.0000018
190.199997,-0.250554,0.0000054
190.250000,-0.250555,-0.000019
190.300003,-0.250555,-0.0000048
190.350006,-0.250548,0.000149
190.400009,-0.250544,0.000070
190.449997,-0.250544,0.0000018
190.500000,-0.250545,-0.000011
190.550003,-0.250549,-0.000080
190.600006,-0.250552,-0.000067
190.650009,-0.250550,0.000046
190.699997,-0.250546,0.000064
190.750000,-0.250546,0.000015
190.800003,-0.250545,0.000011
190.850006,-0.250549,-0.000086
190.900009,-0.250554,-0.000101
190.949997,-0.250549,0.000109
191.000000,-0.250545,0.000086
191.050003,-0.250543,0.000026
191.100006,-0.250540,0.000067
191.150009,-0.250539,0.000014
191.199997,-0.250545,-0.000108
191.250000,-0.250550,-0.000101
191.300003,-0.250545,0.000095
191.350006,-0.250545,0.0000066
191.400009,-0.250549,-0.000088
191.449997,-0.250550,-0.000017
191.500000,-0.250550,0.0000060
191.550003,-0.250548,0.000027
191.600006,-0.250546,0.000039
191.650009,-0.250545,0.000026
191.699997,-0.250541,0.000073
191.750000,-0.250540,0.000035
191.800003,-0.250542,-0.000046
191.850006,-0.250543,-0.000015
191.900009,-0.250544,-0.000015
191.949997,-0.250543,0.000011
192.000000,-0.250544,-0.000029
192.050003,-0.250543,0.000029
192.100006,-0.250540,0.000054
192.150009,-0.250538,0.000051
192.199997,-0.250535,0.000054
192.250000,-0.250536,-0.000017
192.300003,-0.250535,0.0000095
192.350006,-0.250537,-0.000042
192.400009,-0.250539,-0.000027
192.449997,-0.250536,0.000047
192.500000,-0.250535,0.000039
192.550003,-0.250536,-0.000020
