Graph_z
Time (Seconds),z (Meters),z_dot (Meters/Seconds)
188.150009,1.207176,-0.0000048
188.199997,1.207182,0.000119
188.250000,1.207177,-0.000103
188.300003,1.207176,-0.000019
188.350006,1.207176,0.0000048
188.400009,1.207177,0.0000072
188.449997,1.207177,0.0000072
188.500000,1.207179,0.000045
188.550003,1.207178,-0.000029
188.600006,1.207178,0.0000024
188.650009,1.207180,0.000041
188.699997,1.207180,-0.0000048
188.750000,1.207178,-0.000041
188.800003,1.207178,0.0000072
188.850006,1.207180,0.000048
188.900009,1.207179,-0.000029
188.949997,1.207177,-0.000038
189.000000,1.207180,0.000050
189.050003,1.207183,0.000062
189.100006,1.207179,-0.000081
189.150009,1.207177,-0.000036
189.199997,1.207174,-0.000060
189.250000,1.207178,0.000091
189.300003,1.207181,0.000050
189.350006,1.207182,0.000021
189.400009,1.207180,-0.000043
189.449997,1.207174,-0.000114
189.500000,1.207174,0.0000048
189.550003,1.207180,0.000119
189.600006,1.207181,0.0000072
189.650009,1.207180,-0.0000048
189.699997,1.207180,-0.0000072
189.750000,1.207182,0.000038
189.800003,1.207184,0.000038
189.850006,1.207178,-0.000117
189.900009,1.207173,-0.000103
189.949997,1.207177,0.000086
190.000000,1.207181,0.000081
190.050003,1.207178,-0.000072
190.100006,1.207176,-0.000024
190.150009,1.207179,0.000048
190.199997,1.207180,0.000019
190.250000,1.207175,-0.000091
190.300003,1.207174,-0.000024
190.350006,1.207179,0.000095
190.400009,1.207179,0.0000024
190.449997,1.207179,0.000000
190.500000,1.207178,-0.000017
190.550003,1.207179,0.0000095
190.600006,1.207180,0.000031
190.650009,1.207179,-0.000026
190.699997,1.207177,-0.000029
190.750000,1.207181,0.000072
190.800003,1.207181,-0.0000048
190.850006,1.207178,-0.000060
190.900009,1.207177,-0.000021
190.949997,1.207178,0.000024
191.000000,1.207180,0.000045
191.050003,1.207180,0.000000
191.100006,1.207179,-0.000017
191.150009,1.207182,0.000052
191.199997,1.207183,0.000012
191.250000,1.207180,-0.000060
191.300003,1.207181,0.000021
191.350006,1.207181,0.000000
191.400009,1.207177,-0.000067
191.449997,1.207178,0.0000048
191.500000,1.207177,-0.0000072
191.550003,1.207179,0.000043
191.600006,1.207184,0.000088
191.650009,1.207181,-0.000062
191.699997,1.207180,-0.000014
191.750000,1.207179,-0.0000095
191.800003,1.207183,0.000069
191.850006,1.207181,-0.000031
191.900009,1.207180,-0.000021
191.949997,1.207181,0.0000072
192.000000,1.207178,-0.000043
192.050003,1.207179,0.0000048
192.100006,1.207183,0.000086
192.150009,1.207183,0.0000024
192.199997,1.207183,0.000000
192.250000,1.207181,-0.000050
192.300003,1.207180,-0.000019
192.350006,1.207176,-0.000064
192.400009,1.207181,0.000086
192.449997,1.207182,0.000019
192.500000,1.207181,-0.0000095
192.550003,1.207179,-0.000050
192.600006,1.207178,-0.000017
192.650009,1.207135,-0.000858
192.699997,1.207608,0.009453
192.750000,1.209089,0.029626
192.800003,1.211453,0.047276
192.850006,1.214518,0.061305
192.900009,1.218297,0.075576
192.949997,1.222738,0.088816
193.000000,1.227839,0.102031
193.050003,1.233734,0.117893
193.100006,1.240535,0.136020
193.150009,1.248169,0.152681
193.199997,1.256531,0.167236
193.250000,1.265207,0.173521
193.300003,1.273848,0.172822
193.350006,1.282422,0.171483
193.400009,1.291039,0.172336
193.449997,1.299767,0.174563
193.500000,1.308601,0.176675
193.550003,1.317534,0.178676
193.600006,1.326555,0.180411
193.650009,1.335644,0.181780
193.699997,1.344707,0.181262
193.750000,1.353738,0.180616
193.800003,1.362794,0.181117
193.850006,1.371886,0.181849
193.900009,1.381013,0.182536
193.949997,1.390156,0.182855
194.000000,1.399301,0.182905
194.050003,1.408440,0.182784
194.100006,1.417586,0.182917
194.150009,1.426714,0.182562
194.199997,1.435829,0.182292
194.250000,1.444906,0.181544
194.300003,1.453941,0.180709
194.350006,1.462932,0.179801
194.400009,1.471879,0.178950
194.449997,1.480764,0.177703
194.500000,1.489580,0.176318
194.550003,1.498312,0.174632
194.600006,1.506959,0.172956
194.650009,1.515509,0.170994
194.699997,1.523943,0.168686
194.750000,1.532259,0.166321
194.800003,1.540401,0.162830
194.850006,1.548453,0.161037
194.900009,1.556301,0.156953
194.949997,1.564029,0.154564
195.000000,1.571527,0.149956
195.050003,1.578854,0.146556
195.100006,1.585989,0.142691
195.150009,1.592913,0.138485
195.199997,1.599625,0.134239
195.250000,1.606092,0.129342
195.300003,1.612329,0.124733
195.350006,1.618320,0.119827
195.400009,1.624056,0.114717
195.449997,1.629508,0.109041
195.500000,1.634697,0.103774
195.550003,1.639607,0.098195
195.600006,1.644224,0.092349
195.650009,1.648553,0.086572
195.699997,1.652579,0.080521
195.750000,1.656297,0.074358
195.800003,1.659698,0.068028
195.850006,1.662792,0.061877
195.900009,1.665555,0.055263
195.949997,1.667987,0.048637
196.000000,1.670088,0.042028
196.050003,1.671854,0.035315
196.100006,1.673267,0.028257
196.150009,1.674285,0.020359
196.199997,1.674906,0.012429
196.250000,1.675063,0.003142
196.300003,1.674825,-0.004776
196.350006,1.674297,-0.010552
196.400009,1.673615,-0.013638
196.449997,1.672871,-0.014877
196.500000,1.672130,-0.014832
196.550003,1.671432,-0.013947
196.600006,1.670826,-0.012119
196.650009,1.670344,-0.009646
196.699997,1.670011,-0.006669
196.750000,1.669836,-0.003500
196.800003,1.669751,-0.001686
196.850006,1.669684,-0.001340
196.900009,1.669676,-0.000174
196.949997,1.669673,-0.000055
197.000000,1.669667,-0.000122
197.050003,1.669667,-0.0000024
197.100006,1.669668,0.000031
197.150009,1.669668,0.000000
197.199997,1.669666,-0.000052
197.250000,1.669667,0.000019
197.300003,1.669668,0.000029
197.350006,1.669666,-0.000045
197.400009,1.669667,0.000036
197.449997,1.669667,-0.0000072
197.500000,1.669668,0.0000095
197.550003,1.669667,-0.000014
197.600006,1.669665,-0.000033
197.650009,1.669659,-0.000124
197.699997,1.669660,0.000024
197.750000,1.669663,0.000064
197.800003,1.669666,0.000052
197.850006,1.669667,0.000021
197.900009,1.669664,-0.000060
197.949997,1.669665,0.000014
198.000000,1.669665,-0.0000024
198.050003,1.669663,-0.000038
198.100006,1.669669,0.000114
198.150009,1.669667,-0.000033
198.199997,1.669668,0.000029
198.250000,1.669665,-0.000057
198.300003,1.669664,-0.000024
198.350006,1.669666,0.000031
198.400009,1.669670,0.000076
198.449997,1.669666,-0.000074
198.500000,1.669665,-0.000014
198.550003,1.669666,0.000014
198.600006,1.669665,-0.000026
198.650009,1.669670,0.000110
198.699997,1.669668,-0.000048
198.750000,1.669664,-0.000074
198.800003,1.669664,0.0000024
198.850006,1.669668,0.000079
198.900009,1.669660,-0.000157
198.949997,1.669661,0.000014
199.000000,1.669667,0.000131
199.050003,1.669667,-0.0000048
199.100006,1.669665,-0.000050
199.150009,1.669664,-0.000024
199.199997,1.669669,0.000103
199.250000,1.669669,0.0000048
199.300003,1.669666,-0.000050
199.350006,1.669667,0.000019
199.400009,1.669573,-0.001879
199.449997,1.669661,0.001752
199.500000,1.669673,0.000238
199.550003,1.669667,-0.000110
199.600006,1.669665,-0.000043
199.650009,1.669666,0.0000095
199.699997,1.669667,0.000026
199.750000,1.669666,-0.000014
199.800003,1.669664,-0.000052
199.850006,1.669665,0.000014
199.900009,1.669665,0.0000072
199.949997,1.669669,0.000076
200.000000,1.669664,-0.000103
200.050003,1.669553,-0.002215
200.100006,1.669617,0.001292
200.150009,1.669663,0.000916
