Graph_z
Time (Seconds),z (Meters),z_dot (Meters/Seconds)
222.500000,2.227642,-0.000043
222.550003,2.227642,-0.0000095
222.600006,2.227641,-0.0000048
222.650009,2.227641,0.000000
222.699997,2.227643,0.000033
222.750000,2.227643,-0.0000048
222.800003,2.227643,0.000000
222.850006,2.227643,-0.0000048
222.900009,2.227641,-0.000038
222.949997,2.227641,0.0000095
223.000000,2.227642,0.000019
223.050003,2.227643,0.0000095
223.100006,2.227644,0.000038
223.150009,2.227640,-0.000095
223.199997,2.227641,0.000024
223.250000,2.227643,0.000038
223.300003,2.227643,0.0000048
223.350006,2.227643,0.0000048
223.400009,2.227642,-0.000024
223.449997,2.227641,-0.000014
223.500000,2.227642,0.000019
223.550003,2.227642,-0.0000048
223.600006,2.227644,0.000033
223.650009,2.227644,0.0000095
223.699997,2.227643,-0.000024
223.750000,2.227642,-0.000024
223.800003,2.227641,-0.000024
223.850006,2.227641,0.0000048
223.900009,2.227644,0.000057
223.949997,2.227642,-0.000033
224.000000,2.227643,0.000019
224.050003,2.227642,-0.000019
224.100006,2.227642,0.0000048
224.150009,2.227643,0.000024
224.199997,2.227642,-0.000024
224.250000,2.227643,0.000024
224.300003,2.227643,0.000000
224.350006,2.227642,-0.000033
224.400009,2.227640,-0.000029
224.449997,2.227643,0.000043
224.500000,2.227643,0.000019
224.550003,2.227643,0.000000
224.600006,2.227642,-0.000024
224.650009,2.227642,-0.000014
224.699997,2.227644,0.000048
224.750000,2.227644,0.0000048
224.800003,2.227643,-0.000033
224.850006,2.227642,-0.000019
224.900009,2.227645,0.000062
224.949997,2.227646,0.000029
225.000000,2.227642,-0.000091
225.050003,2.227642,0.0000095
225.100006,2.227642,0.000000
225.150009,2.227643,0.000024
225.199997,2.227648,0.000091
225.250000,2.227643,-0.000091
225.300003,2.227641,-0.000043
225.350006,2.227642,0.0000095
225.400009,2.227642,0.000014
225.449997,2.227643,0.0000095
225.500000,2.227643,0.0000048
225.550003,2.227643,-0.0000095
225.600006,2.227643,0.0000095
225.650009,2.227641,-0.000033
225.699997,2.227642,0.000014
225.750000,2.227643,0.000029
225.800003,2.227643,-0.000019
225.850006,2.227643,0.000000
225.900009,2.227644,0.000029
225.949997,2.227643,-0.000029
226.000000,2.227642,-0.000014
226.050003,2.227642,0.0000095
226.100006,2.227643,0.000014
226.150009,2.227643,0.000000
226.199997,2.227642,-0.000024
226.250000,2.227643,0.000024
226.300003,2.227643,0.0000095
226.350006,2.227643,-0.000019
226.400009,2.227643,0.0000048
226.449997,2.227642,-0.000014
226.500000,2.227642,-0.0000048
226.550003,2.227644,0.000038
226.600006,2.227642,-0.000043
226.650009,2.227642,0.000014
226.699997,2.227643,0.0000095
226.750000,2.227642,-0.000014
226.800003,2.227643,0.000014
226.850006,2.227642,-0.000014
226.900009,2.227643,0.000029
226.949997,2.227643,0.000000
227.000000,2.227641,-0.000052
227.050003,2.227644,0.000057
227.100006,2.227643,-0.000014
227.150009,2.227645,0.000033
227.199997,2.227641,-0.000072
227.250000,2.227641,0.000000
227.300003,2.227644,0.000052
227.350006,2.227645,0.000019
227.400009,2.227643,-0.000024
227.449997,2.227642,-0.000033
227.500000,2.227642,0.000000
227.550003,2.227642,0.0000095
227.600006,2.227643,0.0000048
227.650009,2.227642,-0.0000095
227.699997,2.227643,0.000014
227.750000,2.227643,-0.0000048
227.800003,2.227642,-0.0000095
227.850006,2.227643,0.000024
227.900009,2.227644,0.000019
227.949997,2.227643,-0.000029

