Graph
Time (Seconds),q1 (Degrees),q1_dot (Degrees/Seconds)
188.150009,81.523865,0.005737
188.199997,81.523895,0.000546
188.250000,81.523949,0.001093
188.300003,81.524071,0.002459
188.350006,81.524254,0.003552
188.400009,81.524239,-0.000273
188.449997,81.524513,0.005464
188.500000,81.524277,-0.004645
188.550003,81.524155,-0.002459
188.600006,81.523865,-0.005737
188.650009,81.524139,0.005464
188.699997,81.524193,0.001093
188.750000,81.524170,-0.000546
188.800003,81.524139,-0.000546
188.850006,81.523979,-0.003278
188.900009,81.523758,-0.004371
188.949997,81.523598,-0.003278
189.000000,81.523552,-0.000820
189.050003,81.523705,0.003005
189.100006,81.523827,0.002459
189.150009,81.524139,0.006284
189.199997,81.524048,-0.001912
189.250000,81.523994,-0.001093
189.300003,81.523811,-0.003552
189.350006,81.523842,0.000546
189.400009,81.523842,0.000000
189.449997,81.523735,-0.002186
189.500000,81.523880,0.003005
189.550003,81.523705,-0.003552
189.600006,81.523651,-0.001093
189.650009,81.523567,-0.001639
189.699997,81.524155,0.011748
189.750000,81.524155,0.000000
189.800003,81.524117,-0.000820
189.850006,81.524323,0.004098
189.900009,81.524345,0.000546
189.949997,81.524307,-0.000820
190.000000,81.524017,-0.005737
190.050003,81.524307,0.005737
190.100006,81.523994,-0.006284
190.150009,81.523705,-0.005737
190.199997,81.523666,-0.000820
190.250000,81.523651,-0.000273
190.300003,81.523979,0.006557
190.350006,81.524002,0.000546
190.400009,81.523933,-0.001366
190.449997,81.524139,0.004098
190.500000,81.523926,-0.004371
190.550003,81.523529,-0.007923
190.600006,81.523499,-0.000546
190.650009,81.523621,0.002459
190.699997,81.524063,0.008743
190.750000,81.523773,-0.005737
190.800003,81.523621,-0.003005
190.850006,81.523552,-0.001366
190.900009,81.523895,0.006830
190.949997,81.523804,-0.001912
191.000000,81.524307,0.010109
191.050003,81.524567,0.005191
191.100006,81.524414,-0.003005
191.150009,81.523979,-0.008743
191.199997,81.523811,-0.003278
191.250000,81.523865,0.001093
191.300003,81.523911,0.000820
191.350006,81.523880,-0.000546
191.400009,81.523720,-0.003278
191.449997,81.523811,0.001912
191.500000,81.523346,-0.009289
191.550003,81.523582,0.004645
191.600006,81.523865,0.005737
191.650009,81.523865,0.000000
191.699997,81.524033,0.003278
191.750000,81.524155,0.002459
191.800003,81.524139,-0.000273
191.850006,81.523735,-0.008196
191.900009,81.523720,-0.000273
191.949997,81.523735,0.000273
192.000000,81.523720,-0.000273
192.050003,81.523804,0.001639
192.100006,81.523773,-0.000546
192.150009,81.523895,0.002459
192.199997,81.523827,-0.001366
192.250000,81.523804,-0.000546
192.300003,81.524139,0.006830
192.350006,81.523804,-0.006830
192.400009,81.523804,0.000000
192.449997,81.523865,0.001366
192.500000,81.523949,0.001639
192.550003,81.524101,0.003005
192.600006,81.524292,0.003825
192.650009,81.495415,-0.577561
