Graph_q3
Time (Seconds),q3 (Degrees),q3_dot (Degrees/Seconds)
178.000000,13.647114,0.000273
178.050003,13.647114,0.000000
178.100006,13.647155,0.000820
178.150009,13.647114,-0.000820
178.199997,13.647114,0.000000
178.250000,13.647128,0.000273
178.300003,13.647155,0.000546
178.350006,13.647100,-0.001093
178.400009,13.647087,-0.000273
178.449997,13.647100,0.000273
178.500000,13.647182,0.001639
178.550003,13.647169,-0.000273
178.600006,13.647155,-0.000273
178.650009,13.647141,-0.000273
178.699997,13.647155,0.000273
178.750000,13.647182,0.000546
178.800003,13.647169,-0.000273
178.850006,13.647196,0.000546
178.900009,13.647155,-0.000820
178.949997,13.647141,-0.000273
179.000000,13.647100,-0.000820
179.050003,13.647128,0.000546
179.100006,13.647141,0.000273
179.150009,13.647182,0.000820
179.199997,13.647169,-0.000273
179.250000,13.647155,-0.000273
179.300003,13.647182,0.000546
179.350006,13.647128,-0.001093
179.400009,13.647128,0.000000
179.449997,13.647155,0.000546
179.500000,13.647169,0.000273
179.550003,13.647141,-0.000546
179.600006,13.647141,0.000000
179.650009,13.647128,-0.000273
179.699997,13.647114,-0.000273
179.750000,13.647141,0.000546
179.800003,13.647114,-0.000546
179.850006,13.647114,0.000000
179.900009,13.647114,0.000000
179.949997,13.647114,0.000000
180.000000,13.647128,0.000273
180.050003,13.647182,0.001093
180.100006,13.647169,-0.000273
180.150009,13.647114,-0.001093
180.199997,13.647087,-0.000546
180.250000,13.647155,0.001366
180.300003,13.647141,-0.000273
180.350006,13.647155,0.000273
180.400009,13.647155,0.000000
180.449997,13.647128,-0.000546
180.500000,13.647128,0.000000
180.550003,13.647141,0.000273
180.600006,13.647114,-0.000546
180.650009,13.647114,0.000000
180.699997,13.647114,0.000000
180.750000,13.647141,0.000546
180.800003,13.647128,-0.000273
180.850006,13.647141,0.000273
180.900009,13.647141,0.000000
180.949997,13.647155,0.000273
181.000000,13.647128,-0.000546
181.050003,13.647128,0.000000
181.100006,13.647155,0.000546
181.150009,13.647128,-0.000546
181.199997,13.647074,-0.001093
181.250000,13.647114,0.000820
181.300003,13.647128,0.000273
181.350006,13.647210,0.001639
181.400009,13.647182,-0.000546
181.449997,13.647182,0.000000
181.500000,13.647128,-0.001093
181.550003,13.647155,0.000546
181.600006,13.647128,-0.000546
181.650009,13.647114,-0.000273
181.699997,13.647114,0.000000
181.750000,13.647100,-0.000273
181.800003,13.647128,0.000546
181.850006,13.647169,0.000820
181.900009,13.647169,0.000000
181.949997,13.647141,-0.000546
182.000000,13.647141,0.000000
182.050003,13.647210,0.001366
182.100006,13.647155,-0.001093
182.150009,13.647155,0.000000
182.199997,13.647141,-0.000273
182.250000,13.647128,-0.000273
182.300003,13.647141,0.000273
182.350006,13.647155,0.000273
182.400009,13.647141,-0.000273
182.449997,13.647155,0.000273
182.500000,13.647128,-0.000546
182.550003,13.647141,0.000273
182.600006,13.647128,-0.000273
182.650009,13.647141,0.000273
182.699997,13.647155,0.000273
182.750000,13.647155,0.000000
182.800003,13.647155,0.000000
182.850006,13.647155,0.000000
182.900009,13.647141,-0.000273
182.949997,13.647141,0.000000
183.000000,13.647169,0.000546
183.050003,13.647182,0.000273
183.100006,13.647169,-0.000273
183.150009,13.647155,-0.000273
183.199997,13.647155,0.000000
183.250000,13.647128,-0.000546
183.300003,13.647128,0.000000
183.350006,13.647141,0.000273
183.400009,13.647128,-0.000273
183.449997,13.647169,0.000820
183.500000,13.647169,0.000000
183.550003,13.647155,-0.000273
183.600006,13.647169,0.000273
183.650009,13.647141,-0.000546
183.699997,13.647141,0.000000
183.750000,13.647141,0.000000
183.800003,13.647155,0.000273
183.850006,13.647128,-0.000546
183.900009,13.647155,0.000546
183.949997,13.647182,0.000546
184.000000,13.647128,-0.001093
184.050003,13.647128,0.000000
184.100006,13.647169,0.000820
184.150009,13.647155,-0.000273
184.199997,13.647155,0.000000
184.250000,13.647155,0.000000
184.300003,13.614616,-0.650780
184.350006,13.505579,-2.180743
184.400009,13.304689,-4.017790
184.449997,13.006675,-5.960296
184.500000,12.609704,-7.939412
184.550003,12.134049,-9.513087
184.600006,11.629641,-10.088189
184.650009,11.115245,-10.287904
184.699997,10.597353,-10.357845
184.750000,10.078231,-10.382434
184.800003,9.558645,-10.391723
184.850006,9.039059,-10.391723
184.900009,8.519350,-10.394182
184.949997,7.999599,-10.395001
185.000000,7.479836,-10.395275
185.050003,6.960059,-10.395548
185.100006,6.440336,-10.394455
185.150009,5.920613,-10.394455
185.199997,5.400863,-10.395001
185.250000,4.881154,-10.394182
185.300003,4.361417,-10.394729
185.350006,3.841626,-10.395822
185.400009,3.321876,-10.395001
185.449997,2.802113,-10.395275
185.500000,2.282376,-10.394729
185.550003,1.762612,-10.395275
185.600006,1.260853,-10.035188
185.650009,0.828324,-8.650571
185.699997,0.485094,-6.864614
185.750000,0.238059,-4.940686
185.800003,0.089749,-2.966215
185.850006,0.031296,-1.169055
185.900009,0.017075,-0.284409
185.949997,0.005970,-0.222118
186.000000,0.002254,-0.074312
186.050003,0.000779,-0.029506
186.100006,0.000260,-0.010382
186.150009,0.000109,-0.003005
186.199997,0.000041,-0.001366
186.250000,-0.000014,-0.001093
186.300003,-0.000014,0.000000
186.350006,-0.000027,-0.000273
186.400009,0.000000,0.000546
186.449997,0.000000,0.000000
186.500000,-0.000027,-0.000546
186.550003,0.000000,0.000546
186.600006,0.000000,0.000000
186.650009,0.000000,0.000000
186.699997,0.000000,0.000000
186.750000,-0.000014,-0.000273
186.800003,-0.000014,0.000000
186.850006,0.000014,0.000546
186.900009,0.000014,0.000000
186.949997,0.000000,-0.000273
187.000000,-0.000014,-0.000273
187.050003,-0.000041,-0.000546
187.100006,-0.000027,0.000273
187.150009,0.000027,0.001093
187.199997,0.000041,0.000273
187.250000,0.000000,-0.000820
187.300003,-0.000014,-0.000273
187.350006,0.000014,0.000546
187.400009,0.000027,0.000273
187.449997,0.000041,0.000273
187.500000,0.000041,0.000000
187.550003,0.000000,-0.000820
187.600006,0.000014,0.000273
187.650009,0.000014,0.000000
187.699997,0.000000,-0.000273
187.750000,0.000000,0.000000
187.800003,0.000000,0.000000
187.850006,0.000000,0.000000
187.900009,0.000014,0.000273
187.949997,0.000014,0.000000
188.000000,-0.000014,-0.000546
188.050003,0.000000,0.000273
188.100006,0.000000,0.000000
188.150009,0.000000,0.000000
188.199997,0.000014,0.000273
188.250000,0.000000,-0.000273
188.300003,0.000000,0.000000
188.350006,0.000014,0.000273
188.400009,0.000014,0.000000
188.449997,-0.000014,-0.000546
188.500000,-0.000014,0.000000
188.550003,0.000000,0.000273
188.600006,0.000000,0.000000
188.650009,0.000041,0.000820
188.699997,0.000014,-0.000546
188.750000,0.000000,-0.000273
188.800003,0.000014,0.000273
188.850006,0.000027,0.000273
188.900009,0.000000,-0.000546
188.949997,0.000000,0.000000
189.000000,0.000000,0.000000
189.050003,0.000014,0.000273
189.100006,0.000027,0.000273
189.150009,0.000014,-0.000273
189.199997,0.000014,0.000000
189.250000,0.000000,-0.000273
189.300003,-0.000027,-0.000546
189.350006,0.000000,0.000546
189.400009,0.000027,0.000546
189.449997,0.000027,0.000000
189.500000,0.000014,-0.000273
