Graph_q2
Time (Seconds),q2 (Degrees),q2_dot (Degrees/Seconds)
178.000000,-15.590426,0.003552
178.050003,-15.590631,-0.004098
178.100006,-15.590467,0.003278
178.150009,-15.590645,-0.003552
178.199997,-15.590385,0.005191
178.250000,-15.590604,-0.004371
178.300003,-15.590412,0.003825
178.350006,-15.590617,-0.004098
178.400009,-15.590426,0.003825
178.449997,-15.590604,-0.003552
178.500000,-15.590426,0.003552
178.550003,-15.590631,-0.004098
178.600006,-15.590412,0.004371
178.650009,-15.590658,-0.004918
178.699997,-15.590453,0.004098
178.750000,-15.590631,-0.003552
178.800003,-15.590426,0.004098
178.850006,-15.590645,-0.004371
178.900009,-15.590440,0.004098
178.949997,-15.590631,-0.003825
179.000000,-15.590426,0.004098
179.050003,-15.590604,-0.003552
179.100006,-15.590399,0.004098
179.150009,-15.590604,-0.004098
179.199997,-15.590412,0.003825
179.250000,-15.590617,-0.004098
179.300003,-15.590453,0.003278
179.350006,-15.590645,-0.003825
179.400009,-15.590426,0.004371
179.449997,-15.590645,-0.004371
179.500000,-15.590412,0.004645
179.550003,-15.590631,-0.004371
179.600006,-15.590412,0.004371
179.650009,-15.590645,-0.004645
179.699997,-15.590412,0.004645
179.750000,-15.590645,-0.004645
179.800003,-15.590412,0.004645
179.850006,-15.590617,-0.004098
179.900009,-15.590399,0.004371
179.949997,-15.590617,-0.004371
180.000000,-15.590399,0.004371
180.050003,-15.590672,-0.005464
180.100006,-15.590453,0.004371
180.150009,-15.590645,-0.003825
180.199997,-15.590399,0.004918
180.250000,-15.590604,-0.004098
180.300003,-15.590426,0.003552
180.350006,-15.590604,-0.003552
180.400009,-15.590426,0.003552
180.449997,-15.590645,-0.004371
180.500000,-15.590440,0.004098
180.550003,-15.590672,-0.004645
180.600006,-15.590426,0.004918
180.650009,-15.590631,-0.004098
180.699997,-15.590412,0.004371
180.750000,-15.590631,-0.004371
180.800003,-15.590440,0.003825
180.850006,-15.590631,-0.003825
180.900009,-15.590385,0.004918
180.949997,-15.590617,-0.004645
181.000000,-15.590412,0.004098
181.050003,-15.590631,-0.004371
181.100006,-15.590440,0.003825
181.150009,-15.590631,-0.003825
181.199997,-15.590371,0.005191
181.250000,-15.590631,-0.005191
181.300003,-15.590426,0.004098
181.350006,-15.590658,-0.004645
181.400009,-15.590412,0.004918
181.449997,-15.590617,-0.004098
181.500000,-15.590399,0.004371
181.550003,-15.590658,-0.005191
181.600006,-15.590440,0.004371
181.650009,-15.590658,-0.004371
181.699997,-15.590412,0.004918
181.750000,-15.590631,-0.004371
181.800003,-15.590412,0.004371
181.850006,-15.590631,-0.004371
181.900009,-15.590371,0.005191
181.949997,-15.590631,-0.005191
182.000000,-15.590399,0.004645
182.050003,-15.590658,-0.005191
182.100006,-15.590440,0.004371
182.150009,-15.590617,-0.003552
182.199997,-15.590399,0.004371
182.250000,-15.590590,-0.003825
182.300003,-15.590412,0.003552
182.350006,-15.590658,-0.004918
182.400009,-15.590426,0.004645
182.449997,-15.590645,-0.004371
182.500000,-15.590371,0.005464
182.550003,-15.590617,-0.004918
182.600006,-15.590399,0.004371
182.650009,-15.590658,-0.005191
182.699997,-15.590399,0.005191
182.750000,-15.590617,-0.004371
182.800003,-15.590440,0.003552
182.850006,-15.590672,-0.004645
182.900009,-15.590426,0.004918
182.949997,-15.590617,-0.003825
183.000000,-15.590426,0.003825
183.050003,-15.590645,-0.004371
183.100006,-15.590440,0.004098
183.150009,-15.590658,-0.004371
183.199997,-15.590453,0.004098
183.250000,-15.590617,-0.003278
183.300003,-15.590385,0.004645
183.350006,-15.590645,-0.005191
183.400009,-15.590426,0.004371
183.449997,-15.590658,-0.004645
183.500000,-15.590412,0.004918
183.550003,-15.590658,-0.004918
183.600006,-15.590440,0.004371
183.650009,-15.590631,-0.003825
183.699997,-15.590412,0.004371
183.750000,-15.590617,-0.004098
183.800003,-15.590412,0.004098
183.850006,-15.590631,-0.004371
183.900009,-15.590412,0.004371
183.949997,-15.590645,-0.004645
184.000000,-15.590467,0.003552
184.050003,-15.590658,-0.003825
184.100006,-15.590453,0.004098
184.150009,-15.590645,-0.003825
184.199997,-15.590453,0.003825
184.250000,-15.590645,-0.003825
184.300003,-15.603417,-0.255449
184.350006,-15.652335,-0.978356
184.400009,-15.745622,-1.865734
184.449997,-15.906172,-3.211009
184.500000,-16.155664,-4.989863
184.550003,-16.539249,-7.671669
184.600006,-17.008072,-9.376484
184.650009,-17.505379,-9.946121
184.699997,-17.983028,-9.552976
184.750000,-18.433205,-9.003555
184.800003,-18.853249,-8.400860
184.850006,-19.250355,-7.942144
184.900009,-19.642027,-7.833407
184.949997,-20.037413,-7.907720
185.000000,-20.439846,-8.048695
185.050003,-20.849276,-8.188578
185.100006,-21.266409,-8.342667
185.150009,-21.691328,-8.498395
185.199997,-22.107397,-8.321356
185.250000,-22.519585,-8.243765
185.300003,-22.928467,-8.177649
185.350006,-23.335848,-8.147596
185.400009,-23.744307,-8.169180
185.449997,-24.153324,-8.180381
185.500000,-24.562809,-8.189671
185.550003,-24.971910,-8.182020
185.600006,-25.386501,-8.291850
185.650009,-25.814072,-8.551397
185.699997,-26.189514,-7.508837
185.750000,-26.448309,-5.175918
185.800003,-26.600254,-3.038888
185.850006,-26.659254,-1.179983
185.900009,-26.670673,-0.228402
185.949997,-26.681997,-0.226489
186.000000,-26.685495,-0.069941
186.050003,-26.687681,-0.043713
186.100006,-26.688295,-0.012294
186.150009,-26.688568,-0.005464
186.199997,-26.688568,0.000000
186.250000,-26.688623,-0.001093
186.300003,-26.688610,0.000273
186.350006,-26.688610,0.000000
186.400009,-26.688623,-0.000273
186.449997,-26.688650,-0.000546
186.500000,-26.688568,0.001639
186.550003,-26.688637,-0.001366
186.600006,-26.688595,0.000820
186.650009,-26.688637,-0.000820
186.699997,-26.688595,0.000820
186.750000,-26.688637,-0.000820
186.800003,-26.688637,0.000000
186.850006,-26.688663,-0.000546
186.900009,-26.688623,0.000820
186.949997,-26.688650,-0.000546
187.000000,-26.688610,0.000820
187.050003,-26.688637,-0.000546
187.100006,-26.688610,0.000546
187.150009,-26.688650,-0.000820
187.199997,-26.688610,0.000820
187.250000,-26.688623,-0.000273
187.300003,-26.688610,0.000273
187.350006,-26.688650,-0.000820
187.400009,-26.688610,0.000820
187.449997,-26.688663,-0.001093
187.500000,-26.688623,0.000820
187.550003,-26.688650,-0.000546
187.600006,-26.688610,0.000820
187.650009,-26.688663,-0.001093
187.699997,-26.688595,0.001366
187.750000,-26.688650,-0.001093
187.800003,-26.688581,0.001366
187.850006,-26.688637,-0.001093
187.900009,-26.688581,0.001093
187.949997,-26.688637,-0.001093
188.000000,-26.688623,0.000273
188.050003,-26.688663,-0.000820
188.100006,-26.688610,0.001093
188.150009,-26.688623,-0.000273
188.199997,-26.688637,-0.000273
188.250000,-26.688663,-0.000546
188.300003,-26.688610,0.001093
188.350006,-26.688677,-0.001366
188.400009,-26.688650,0.000546
188.449997,-26.688623,0.000546
188.500000,-26.688623,0.000000
188.550003,-26.688663,-0.000820
188.600006,-26.688595,0.001366
188.650009,-26.688637,-0.000820
188.699997,-26.688623,0.000273
188.750000,-26.688650,-0.000546
188.800003,-26.688595,0.001093
188.850006,-26.688623,-0.000546
188.900009,-26.688595,0.000546
188.949997,-26.688623,-0.000546
189.000000,-26.688610,0.000273
189.050003,-26.688677,-0.001366
189.100006,-26.688650,0.000546
189.150009,-26.688637,0.000273
189.199997,-26.688610,0.000546
189.250000,-26.688623,-0.000273
189.300003,-26.688568,0.001093
189.350006,-26.688623,-0.001093
189.400009,-26.688610,0.000273
189.449997,-26.688637,-0.000546
189.500000,-26.688610,0.000546
189.550003,-26.688663,-0.001093
189.600006,-26.688610,0.001093
189.650009,-26.688637,-0.000546
189.699997,-26.688623,0.000273
189.750000,-26.688637,-0.000273
189.800003,-26.688650,-0.000273
189.850006,-26.688663,-0.000273
189.900009,-26.688610,0.001093
189.949997,-26.688637,-0.000546
190.000000,-26.688623,0.000273
190.050003,-26.688623,0.000000
190.100006,-26.688595,0.000546
190.150009,-26.688623,-0.000546
190.199997,-26.688610,0.000273
190.250000,-26.688637,-0.000546
190.300003,-26.688637,0.000000
190.350006,-26.688650,-0.000273
190.400009,-26.688610,0.000820
190.449997,-26.688650,-0.000820
190.500000,-26.688581,0.001366
190.550003,-26.688663,-0.001639
190.600006,-26.688581,0.001639
190.650009,-26.688637,-0.001093
190.699997,-26.688623,0.000273
190.750000,-26.688623,0.000000
190.800003,-26.688595,0.000546
190.850006,-26.688610,-0.000273
190.900009,-26.688581,0.000546
190.949997,-26.688663,-0.001639
191.000000,-26.688623,0.000820
191.050003,-26.688637,-0.000273
191.100006,-26.688581,0.001093
191.150009,-26.688623,-0.000820
191.199997,-26.688623,0.000000
191.250000,-26.688610,0.000273
191.300003,-26.688623,-0.000273
191.350006,-26.688637,-0.000273
191.400009,-26.688595,0.000820
191.449997,-26.688663,-0.001366
191.500000,-26.688637,0.000546
191.550003,-26.688637,0.000000
191.600006,-26.688637,0.000000
191.650009,-26.688650,-0.000273
191.699997,-26.688610,0.000820
191.750000,-26.688637,-0.000546
191.800003,-26.688677,-0.000820
191.850006,-26.688610,0.001366
191.900009,-26.688637,-0.000546
191.949997,-26.688595,0.000820
192.000000,-26.688650,-0.001093
192.050003,-26.688623,0.000546
192.100006,-26.688623,0.000000
192.150009,-26.688595,0.000546
192.199997,-26.688650,-0.001093
192.250000,-26.688595,0.001093
192.300003,-26.688663,-0.001366
192.350006,-26.688610,0.001093
192.400009,-26.688663,-0.001093
192.449997,-26.688610,0.001093
192.500000,-26.688637,-0.000546
192.550003,-26.688610,0.000546
192.600006,-26.688663,-0.001093
192.650009,-26.703650,-0.299709
192.699997,-26.805883,-2.044685
192.750000,-27.004452,-3.971345
192.800003,-27.301920,-5.949368
192.850006,-27.698917,-7.939959
192.900009,-28.195595,-9.933554
192.949997,-28.780943,-11.706944
193.000000,-29.461626,-13.613660
193.050003,-30.244911,-15.665722
193.100006,-31.132809,-17.757946
193.150009,-32.113503,-19.613844
193.199997,-33.168819,-21.106379
193.250000,-34.247841,-21.580393
193.300003,-35.334400,-21.731203
193.350006,-36.419579,-21.703609
193.400009,-37.503777,-21.683939
193.449997,-38.588684,-21.698145
193.500000,-39.675339,-21.733116
193.550003,-40.765083,-21.794861
193.600006,-41.856781,-21.833929
193.650009,-42.949322,-21.850868
193.699997,-44.035240,-21.718363
193.750000,-45.118755,-21.670279
193.800003,-46.201424,-21.653339
193.850006,-47.283829,-21.648148
193.900009,-48.366169,-21.646782
193.949997,-49.448494,-21.646509
194.000000,-50.530804,-21.646236
194.050003,-51.613102,-21.645962
194.100006,-52.695400,-21.645962
194.150009,-53.777714,-21.646236
194.199997,-54.860027,-21.646236
194.250000,-55.942322,-21.645962
194.300003,-57.024609,-21.645689
194.350006,-58.106934,-21.646509
194.400009,-59.189232,-21.645962
194.449997,-60.271584,-21.647055
194.500000,-61.353882,-21.645962
194.550003,-62.436207,-21.646509
194.600006,-63.518532,-21.646509
194.650009,-64.600876,-21.646782
194.699997,-65.683212,-21.646782
194.750000,-66.765511,-21.645962
194.800003,-67.847847,-21.646782
194.850006,-68.930176,-21.646509
194.900009,-70.012527,-21.647055
194.949997,-71.094856,-21.646509
195.000000,-72.177177,-21.646509
195.050003,-73.259529,-21.647055
195.100006,-74.341873,-21.646782
195.150009,-75.424210,-21.646782
195.199997,-76.506531,-21.646509
195.250000,-77.588890,-21.647055
195.300003,-78.671265,-21.647602
195.350006,-79.753632,-21.647329
195.400009,-80.835983,-21.647055
195.449997,-81.918312,-21.646509
195.500000,-83.000648,-21.646782
195.550003,-84.083000,-21.647055
195.600006,-85.165329,-21.646509
195.650009,-86.247696,-21.647329
195.699997,-87.330063,-21.647329
195.750000,-88.412376,-21.646236
195.800003,-89.494728,-21.647055
195.850006,-90.577080,-21.647055
195.900009,-91.659409,-21.646509
195.949997,-92.741760,-21.647055
196.000000,-93.824127,-21.647329
196.050003,-94.906479,-21.647055
196.100006,-95.988800,-21.646509
196.150009,-97.071045,-21.644869
196.199997,-98.153320,-21.645416
196.250000,-99.204002,-21.013760
196.300003,-100.178444,-19.488716
196.350006,-101.060890,-17.648935
196.400009,-101.846100,-15.704245
196.449997,-102.532257,-13.723216
196.500000,-103.118729,-11.729347
196.550003,-103.605324,-9.731927
196.600006,-103.991951,-7.732594
196.650009,-104.278549,-5.731895
196.699997,-104.465134,-3.731742
196.750000,-104.552605,-1.749348
196.800003,-104.576019,-0.468278
196.850006,-104.590897,-0.297523
196.900009,-104.596123,-0.104639
196.949997,-104.597939,-0.036337
197.000000,-104.598572,-0.012568
197.050003,-104.598778,-0.004098
197.100006,-104.598885,-0.002186
197.150009,-104.598900,-0.000273
197.199997,-104.598900,0.000000
197.250000,-104.598900,0.000000
197.300003,-104.598923,-0.000546
197.350006,-104.598900,0.000546
197.400009,-104.598915,-0.000273
197.449997,-104.598915,0.000000
197.500000,-104.598915,0.000000
197.550003,-104.598915,0.000000
197.600006,-104.598885,0.000546
197.650009,-104.598915,-0.000546
197.699997,-104.598885,0.000546
197.750000,-104.598900,-0.000273
197.800003,-104.598923,-0.000546
197.850006,-104.598923,0.000000
197.900009,-104.598885,0.000820
197.949997,-104.598885,0.000000
198.000000,-104.598900,-0.000273
198.050003,-104.598900,0.000000
198.100006,-104.598938,-0.000820
198.150009,-104.598915,0.000546
198.199997,-104.598923,-0.000273
198.250000,-104.598900,0.000546
198.300003,-104.598900,0.000000
198.350006,-104.598885,0.000273
198.400009,-104.598923,-0.000820
198.449997,-104.598915,0.000273
198.500000,-104.598869,0.000820
198.550003,-104.598885,-0.000273
198.600006,-104.598900,-0.000273
198.650009,-104.598938,-0.000820
198.699997,-104.598915,0.000546
198.750000,-104.598900,0.000273
198.800003,-104.598900,0.000000
198.850006,-104.598923,-0.000546
198.900009,-104.598923,0.000000
198.949997,-104.598915,0.000273
199.000000,-104.598923,-0.000273
199.050003,-104.598923,0.000000
199.100006,-104.598915,0.000273
199.150009,-104.598900,0.000273
199.199997,-104.598938,-0.000820
199.250000,-104.598938,0.000000
199.300003,-104.598923,0.000273
199.350006,-104.598923,0.000000
199.400009,-104.598869,0.001093
199.449997,-104.598915,-0.000820
199.500000,-104.598969,-0.001093
199.550003,-104.598923,0.000820
199.600006,-104.598900,0.000546
199.650009,-104.598900,0.000000
199.699997,-104.598900,0.000000
199.750000,-104.598900,0.000000
199.800003,-104.598900,0.000000
199.850006,-104.598915,-0.000273
199.900009,-104.598900,0.000273
199.949997,-104.598923,-0.000546
200.000000,-104.598869,0.001093
200.050003,-104.599251,-0.007650
