Graph_yaw
Time (Seconds),yaw (Degrees),yaw_dot (Degrees/Seconds)
221.050003,-57.245697,-58.780029
221.100006,-60.194607,-58.974606
221.150009,-63.105732,-58.218895
221.199997,-65.986259,-57.624668
221.250000,-68.836395,-56.999229
221.300003,-71.673203,-56.732735
221.350006,-74.529434,-57.121075
221.400009,-77.441505,-58.237881
221.449997,-80.460365,-60.391979
221.500000,-83.625053,-63.289860
221.550003,-87.006699,-67.628815
221.600006,-90.831375,-76.488800
221.650009,-95.611107,-95.588814
221.699997,-102.203926,-131.888596
221.750000,-112.284462,-201.598343
221.800003,-128.662140,-327.533752
221.850006,-149.034210,-407.416412
221.900009,-163.078659,-280.871948
221.949997,-169.638779,-131.234238
222.000000,-171.511703,-37.456387
222.050003,-169.756607,35.099842
222.100006,-168.064804,33.834145
222.150009,-167.860580,4.084204
222.199997,-168.344131,-9.673636
222.250000,-168.589798,-4.912792
222.300003,-168.452576,2.744202
222.350006,-168.292160,3.208081
222.400009,-168.240448,1.034301
222.449997,-168.279449,-0.780198
222.500000,-169.715210,-28.713457
222.550003,-169.325562,7.792497
222.600006,-168.882385,8.862859
222.650009,-168.592865,5.790008
222.699997,-168.451157,2.834948
222.750000,-168.385208,1.318966
222.800003,-168.365768,0.388751
222.850006,-168.360565,0.103813
222.900009,-168.391495,-0.618504
222.949997,-168.371826,0.393515
223.000000,-168.325760,0.921200
223.050003,-168.267609,1.162974
223.100006,-168.255585,0.240681
223.150009,-168.414948,-3.187318
223.199997,-168.390701,0.485062
223.250000,-168.302261,1.768911
223.300003,-169.519104,-24.335571
223.350006,-169.105835,8.265118
223.400009,-168.736145,7.393092
223.449997,-168.563950,3.444896
223.500000,-168.381775,3.643274
223.550003,-168.395920,-0.283026
223.600006,-168.362137,0.675601
223.650009,-168.314407,0.954529
223.699997,-168.300583,0.276827
223.750000,-168.290787,0.195878
223.800003,-168.429138,-2.766877
223.850006,-168.394592,0.690900
223.900009,-168.312943,1.632862
223.949997,-168.344055,-0.622519
224.000000,-169.672455,-26.566448
224.050003,-169.281921,7.810255
224.100006,-168.864319,8.351719
224.150009,-168.617798,4.930003
224.199997,-168.436829,3.620338
224.250000,-168.394485,0.846619
224.300003,-168.381699,0.255980
224.350006,-168.320206,1.229632
224.400009,-168.417801,-1.951676
224.449997,-168.354431,1.267719
224.500000,-168.314911,0.790341
224.550003,-168.253632,1.225534
224.600006,-168.294785,-0.823124
224.650009,-169.595367,-26.009958
224.699997,-169.123962,9.430149
224.750000,-168.692703,8.624909
224.800003,-168.497009,3.913459
224.850006,-168.473984,0.460600
224.900009,-168.354309,2.393425
224.949997,-168.342224,0.241574
225.000000,-168.355789,-0.271279
225.050003,-168.358505,-0.054365
225.100006,-168.335220,0.465790
225.150009,-168.276947,1.165432
225.199997,-168.316132,-0.784024
225.250000,-168.437820,-2.433584
225.300003,-168.342819,1.900043
225.350006,-169.592987,-25.001884
225.400009,-169.142441,9.010383
225.449997,-168.782181,7.206789
225.500000,-168.574493,4.153594
225.550003,-168.430954,2.870690
225.600006,-168.359238,1.434252
225.650009,-168.366440,-0.144245
225.699997,-168.329254,0.744126
225.750000,-168.317245,0.240135
225.800003,-168.337051,-0.396127
225.850006,-168.334106,0.058736
225.900009,-168.266006,1.362130
225.949997,-168.340546,-1.491258
226.000000,-168.328568,0.239588
226.050003,-168.332214,-0.072942
226.100006,-168.289734,0.849624
226.150009,-169.609329,-26.390242
226.199997,-169.260132,6.985437
226.250000,-168.816284,8.876518
226.300003,-168.589264,4.540160
226.350006,-168.407944,3.626063
226.400009,-168.319778,1.763174
226.449997,-168.342484,-0.454182
226.500000,-168.301422,0.821212
226.550003,-168.309250,-0.156538
226.600006,-168.291824,0.348592
226.650009,-168.274170,0.352963
226.699997,-168.255646,0.370560
226.750000,-168.276016,-0.407328
226.800003,-169.592239,-26.322762
226.850006,-169.110367,9.636808
226.900009,-168.693420,8.338332
226.949997,-168.545074,2.967759
227.000000,-168.434921,2.202738
227.050003,-168.359344,1.511565
227.100006,-168.270493,1.776834
227.150009,-168.218292,1.043862
227.199997,-168.278412,-1.202407
227.250000,-168.312729,-0.686529
227.300003,-168.261841,1.017909
227.350006,-168.244751,0.341762
227.400009,-168.253662,-0.178394
227.449997,-168.265671,-0.240208
227.500000,-169.629120,-27.267183
227.550003,-169.234100,7.899861
227.600006,-168.768875,9.303789
227.650009,-168.481949,5.738375
227.699997,-168.378922,2.061035
227.750000,-168.276932,2.039643
227.800003,-168.309250,-0.646370
227.850006,-168.264984,0.885412
227.900009,-168.247284,0.353782
227.949997,-168.237701,0.191839

