Graph_yaw
Time (Seconds),yaw (Degrees),yaw_dot (Degrees/Seconds)
187.500000,-179.576965,0.001366
187.550003,-179.576920,0.001093
187.600006,-179.577133,-0.004371
187.650009,-179.576904,0.004644
187.699997,-179.576950,-0.000820
187.750000,-179.576965,-0.000273
187.800003,-179.576950,0.000273
187.850006,-179.576935,0.000273
187.900009,-179.576828,0.002186
187.949997,-179.576996,-0.003553
188.000000,-179.577042,-0.000820
188.050003,-179.576782,0.005191
188.100006,-179.576950,-0.003278
188.150009,-179.576920,0.000546
188.199997,-179.576920,0.000000
188.250000,-179.576920,0.000000
188.300003,-179.577103,-0.003825
188.350006,-179.577026,0.001639
188.400009,-179.576782,0.004917
188.449997,-179.577011,-0.004646
188.500000,-179.577057,-0.000820
188.550003,-179.576675,0.007649
188.600006,-179.577072,-0.007923
188.650009,-179.576935,0.002732
188.699997,-179.576920,0.000273
188.750000,-179.576965,-0.001093
188.800003,-179.576935,0.000820
188.850006,-179.576996,-0.001366
188.900009,-179.576965,0.000820
188.949997,-179.577087,-0.002459
189.000000,-179.576981,0.001912
189.050003,-179.576950,0.000820
189.100006,-179.576981,-0.000820
189.150009,-179.576691,0.006010
189.199997,-179.576797,-0.002186
189.250000,-179.577164,-0.007376
189.300003,-179.577118,0.000820
189.350006,-179.576950,0.003551
189.400009,-179.576950,0.000000
189.449997,-179.576691,0.005192
189.500000,-179.577133,-0.009015
189.550003,-179.576981,0.003005
189.600006,-179.577057,-0.001366
189.650009,-179.577042,0.000273
189.699997,-179.577057,-0.000273
189.750000,-179.577087,-0.000546
189.800003,-179.576813,0.005464
189.850006,-179.576950,-0.002732
189.900009,-179.576675,0.005464
189.949997,-179.577103,-0.008472
190.000000,-179.576797,0.006010
190.050003,-179.576889,-0.001912
190.100006,-179.576843,0.001093
190.150009,-179.576935,-0.001912
190.199997,-179.576706,0.004646
190.250000,-179.576630,0.001366
190.300003,-179.576843,-0.004098
190.350006,-179.576843,0.000000
190.400009,-179.576874,-0.000820
190.449997,-179.576965,-0.001640
190.500000,-179.577026,-0.001366
190.550003,-179.576920,0.002186
190.600006,-179.577042,-0.002459
190.650009,-179.576965,0.001366
190.699997,-179.576904,0.001366
190.750000,-179.577042,-0.002732
190.800003,-179.577026,0.000273
190.850006,-179.576797,0.004644
190.900009,-179.576645,0.003005
190.949997,-179.576843,-0.004099
191.000000,-179.576981,-0.002732
191.050003,-179.576920,0.001366
191.100006,-179.577042,-0.002459
191.150009,-179.576965,0.001639
191.199997,-179.576797,0.003279
191.250000,-179.577026,-0.004644
191.300003,-179.576797,0.004644
191.350006,-179.576859,-0.001366
191.400009,-179.576843,0.000546
191.449997,-179.576965,-0.002733
191.500000,-179.576935,0.000820
191.550003,-179.577011,-0.001639
191.600006,-179.576904,0.002186
191.650009,-179.576874,0.000546
191.699997,-179.577103,-0.004372
191.750000,-179.576965,0.002459
191.800003,-179.576981,-0.000273
191.850006,-179.576996,-0.000273
191.900009,-179.576935,0.001366
191.949997,-179.576843,0.001913
192.000000,-179.576752,0.001639
192.050003,-179.576950,-0.003825
192.100006,-179.576935,0.000273
192.150009,-179.577118,-0.003825
192.199997,-179.576996,0.002459
192.250000,-179.577042,-0.000820
192.300003,-179.577072,-0.000546
192.350006,-179.576935,0.002732
192.400009,-179.576950,-0.000273
192.449997,-179.576920,0.000547
192.500000,-179.577118,-0.004098
192.550003,-179.576935,0.003825
192.600006,-179.577179,-0.004917
192.650009,-179.609833,-0.653199
192.699997,-179.731186,-2.427495
192.750000,-179.958969,-4.555459
192.800003,179.700241,-6.815366
192.850006,179.242722,-9.149982
192.900009,178.665726,-11.539037
192.949997,177.965057,-14.016785
193.000000,177.136368,-16.572853
193.050003,176.172958,-19.267061
193.100006,175.067245,-22.112892
193.150009,173.813416,-25.075100
193.199997,172.427399,-27.726955
193.250000,170.948532,-29.575645
193.300003,169.405350,-30.861828
193.350006,167.816467,-31.775652
193.400009,166.192444,-32.478573
193.449997,164.537811,-33.100620
193.500000,162.855682,-33.640453
193.550003,161.148911,-34.133564
193.600006,159.422287,-34.530235
193.650009,157.680527,-34.832932
193.699997,155.931625,-34.986759
193.750000,154.179749,-35.035366
193.800003,152.427582,-35.041103
193.850006,150.678741,-34.974720
193.900009,148.937469,-34.823372
193.949997,147.208527,-34.587234
194.000000,145.495331,-34.261963
194.050003,143.801987,-33.864746
194.100006,142.130234,-33.433102
194.150009,140.484512,-32.912399
194.199997,138.865967,-32.378632
194.250000,137.278702,-31.743418
194.300003,135.723465,-31.102783
194.350006,134.200668,-30.454229
194.400009,132.712189,-29.767700
194.449997,131.258072,-29.089502
194.500000,129.838928,-28.380983
194.550003,128.456116,-27.654570
194.600006,127.108917,-26.942360
194.650009,125.797234,-26.232063
194.699997,124.521904,-25.512888
194.750000,123.283890,-24.758745
194.800003,122.094330,-23.789738
194.850006,120.920807,-23.469009
194.900009,119.798416,-22.446457
194.949997,118.692177,-22.130299
195.000000,117.637306,-21.096075
195.050003,116.608444,-20.575920
195.100006,115.607849,-20.010687
195.150009,114.636055,-19.434799
195.199997,113.691330,-18.899103
195.250000,112.780846,-18.208582
195.300003,111.892258,-17.770658
195.350006,111.030472,-17.234657
195.400009,110.194672,-16.714912
195.449997,109.385803,-16.181391
195.500000,108.595085,-15.813382
195.550003,107.826050,-15.379827
195.600006,107.080376,-14.912535
195.650009,106.351166,-14.583203
195.699997,105.641090,-14.205070
195.750000,104.947243,-13.876048
195.800003,104.273117,-13.481697
195.850006,103.603569,-13.390179
195.900009,102.950058,-13.069452
195.949997,102.312950,-12.745240
196.000000,101.686218,-12.533862
196.050003,101.068710,-12.349458
196.100006,100.460876,-12.155902
196.150009,99.876472,-11.687379
196.199997,99.327545,-10.981254
196.250000,98.833443,-9.881452
196.300003,98.434792,-7.972530
196.350006,98.143539,-5.824566
196.400009,97.984985,-3.170927
196.449997,98.001099,0.322327
196.500000,98.252296,5.023707
196.550003,99.020531,15.363709
196.600006,100.899216,37.571400
196.650009,106.319710,108.403236
196.699997,0.000000,-2126.913574
196.750000,0.000000,0.000000
196.800003,0.000000,0.000000
196.850006,0.000000,0.000000
196.900009,0.000000,0.000000
196.949997,0.000000,0.000000
197.000000,0.000000,0.000000
197.050003,0.000000,0.000000
197.100006,0.000000,0.000000
197.150009,0.000000,0.000000
197.199997,0.000000,0.000000
197.250000,0.000000,0.000000
197.300003,0.000000,0.000000
197.350006,0.000000,0.000000
197.400009,0.000000,0.000000
197.449997,0.000000,0.000000
197.500000,0.000000,0.000000
197.550003,0.000000,0.000000
197.600006,0.000000,0.000000
197.650009,0.000000,0.000000
197.699997,0.000000,0.000000
197.750000,0.000000,0.000000
197.800003,0.000000,0.000000
197.850006,0.000000,0.000000
197.900009,0.000000,0.000000
197.949997,0.000000,0.000000
198.000000,0.000000,0.000000
198.050003,0.000000,0.000000
198.100006,0.000000,0.000000
198.150009,0.000000,0.000000
198.199997,0.000000,0.000000
198.250000,0.000000,0.000000
198.300003,0.000000,0.000000
198.350006,0.000000,0.000000
198.400009,0.000000,0.000000
198.449997,0.000000,0.000000
198.500000,0.000000,0.000000
198.550003,0.000000,0.000000
198.600006,0.000000,0.000000
198.650009,0.000000,0.000000
198.699997,0.000000,0.000000
198.750000,0.000000,0.000000
198.800003,0.000000,0.000000
198.850006,0.000000,0.000000
198.900009,0.000000,0.000000
198.949997,0.000000,0.000000
199.000000,0.000000,0.000000
199.050003,0.000000,0.000000
199.100006,0.000000,0.000000
199.150009,0.000000,0.000000
199.199997,0.000000,0.000000
199.250000,0.000000,0.000000
199.300003,0.000000,0.000000
199.350006,0.000000,0.000000
199.400009,0.000000,0.000000
199.449997,0.000000,0.000000
199.500000,0.000000,0.000000
199.550003,0.000000,0.000000
199.600006,0.000000,0.000000
199.650009,0.000000,0.000000
199.699997,0.000000,0.000000
199.750000,0.000000,0.000000
199.800003,0.000000,0.000000
199.850006,0.000000,0.000000
199.900009,0.000000,0.000000
199.949997,0.000000,0.000000
200.000000,0.000000,0.000000
200.050003,0.000000,0.000000
200.100006,0.000000,0.000000
200.150009,0.000000,0.000000
200.199997,0.000000,0.000000
200.250000,0.000000,0.000000
200.300003,0.000000,0.000000
200.350006,0.000000,0.000000
200.400009,0.000000,0.000000
200.449997,0.000000,0.000000
200.500000,0.000000,0.000000
200.550003,0.000000,0.000000
200.600006,0.000000,0.000000
200.650009,0.000000,0.000000
200.699997,0.000000,0.000000
200.750000,0.000000,0.000000
200.800003,0.000000,0.000000
200.850006,0.000000,0.000000
200.900009,0.000000,0.000000
200.949997,0.000000,0.000000
201.000000,0.000000,0.000000
201.050003,0.000000,0.000000
201.100006,0.000000,0.000000
201.150009,0.000000,0.000000
