Graph_roll
Time (Seconds),roll (Degrees),roll_dot (Degrees/Seconds)
215.050003,-0.691578,-0.014973
215.100006,-0.694006,-0.048547
215.150009,-0.692787,0.024375
215.199997,-0.690845,0.038856
215.250000,-0.691499,-0.013078
215.300003,-0.692139,-0.012810
215.350006,-0.692004,0.002708
215.400009,-0.691924,0.001584
215.449997,-0.692450,-0.010518
215.500000,-0.692538,-0.001749
215.550003,-0.691851,0.013725
215.600006,-0.691884,-0.000643
215.650009,-0.692152,-0.005368
215.699997,-0.691878,0.005479
215.750000,-0.691917,-0.000782
215.800003,-0.692553,-0.012720
215.850006,-0.692140,0.008260
215.900009,-0.692447,-0.006140
215.949997,-0.694831,-0.047683
216.000000,-0.692161,0.053391
216.050003,-0.690861,0.026001
216.100006,-0.691709,-0.016956
216.150009,-0.692134,-0.008512
216.199997,-0.692277,-0.002854
216.250000,-0.692011,0.005314
216.300003,-0.692017,-0.000105
216.350006,-0.692051,-0.000681
216.400009,-0.692235,-0.003686
216.449997,-0.692278,-0.000861
216.500000,-0.692223,0.001103
216.550003,-0.691797,0.008524
216.600006,-0.692949,-0.023048
216.650009,-0.693065,-0.002314
216.699997,-0.691033,0.040646
216.750000,-0.691645,-0.012240
216.800003,-0.692528,-0.017651
216.850006,-0.692454,0.001464
216.900009,-0.691619,0.016708
216.949997,-0.692026,-0.008151
217.000000,-0.692199,-0.003452
217.050003,-0.692281,-0.001630
217.100006,-0.692251,0.000595
217.150009,-0.691995,0.005111
217.199997,-0.692279,-0.005670
217.250000,-0.692322,-0.000869
217.300003,-0.691843,0.009571
217.350006,-0.692258,-0.008283
217.400009,-0.692237,0.000417
217.449997,-0.692328,-0.001823
217.500000,-0.692243,0.001705
217.550003,-0.692509,-0.005327
217.600006,-0.692211,0.005970
217.650009,-0.694203,-0.039838
217.699997,-0.692421,0.035632
217.750000,-0.691129,0.025851
217.800003,-0.691649,-0.010405
217.850006,-0.692150,-0.010024
217.900009,-0.634314,1.156649
217.949997,-0.425190,4.183506
218.000000,90.638367,1821.160034
218.050003,85.724739,-98.266495
218.100006,83.322891,-48.034065
218.150009,82.154907,-23.358231
218.199997,81.645859,-10.183566
218.250000,81.549179,-1.933372
218.300003,81.771370,4.443450
218.350006,82.298859,10.549130
218.400009,83.034744,14.716794
218.449997,84.001663,19.343174
218.500000,85.224289,24.450994
218.550003,86.621269,27.938004
218.600006,88.095856,29.489864
218.650009,89.616905,30.419123
218.699997,91.166122,30.991901
218.750000,92.723251,31.140619
218.800003,94.298706,31.507242
218.850006,95.904716,32.118233
218.900009,97.530914,32.522011
218.949997,99.170593,32.801521
219.000000,100.817223,32.930565
219.050003,102.461082,32.875244
219.100006,104.103104,32.838364
219.150009,105.734329,32.622543
219.199997,107.357368,32.468811
219.250000,108.967354,32.197598
219.300003,110.561562,31.882334
219.350006,112.144875,31.664328
219.400009,113.716225,31.425011
219.449997,115.274208,31.167341
219.500000,116.815826,30.830412
219.550003,118.345963,30.600931
219.600006,119.857185,30.222563
219.650009,121.354691,29.948280
219.699997,122.836586,29.645067
219.750000,124.303406,29.334692
219.800003,125.756569,29.061502
219.850006,127.191917,28.705259
219.900009,128.612976,28.419502
219.949997,130.014420,28.035482
220.000000,131.399796,27.705929
220.050003,132.773544,27.473169
220.100006,134.137497,27.277565
220.150009,135.494171,27.131680
220.199997,136.843567,26.994581
220.250000,138.190460,26.936348
220.300003,139.534225,26.873514
220.350006,140.876923,26.852480
220.400009,142.220383,26.867506
220.449997,143.562256,26.844006
220.500000,144.905746,26.868052
220.550003,146.255020,26.983883
220.600006,147.607376,27.045351
220.650009,148.976410,27.379190
220.699997,150.344711,27.372520
220.750000,151.731705,27.738438
220.800003,153.136902,28.102055
